loop_len,model,mean_rmsd,sem_rmsd
1.0,alpha,0.92,0.03
1.0,rosetta,1.34,0.04
2.0,alpha,0.9,0.03
2.0,rosetta,1.36,0.04
3.0,alpha,0.84,0.02
3.0,rosetta,1.28,0.04
4.0,alpha,0.9,0.04
4.0,rosetta,1.34,0.04
5.0,alpha,0.89,0.04
5.0,rosetta,1.32,0.04
6.0,alpha,1.03,0.07
6.0,rosetta,1.42,0.06
7.0,alpha,0.99,0.06
7.0,rosetta,1.41,0.06
8.0,alpha,1.03,0.13
8.0,rosetta,1.63,0.16
9.0,alpha,0.88,0.08
9.0,rosetta,1.33,0.14
10.0,alpha,1.17,0.13
10.0,rosetta,1.63,0.14
11.0,alpha,0.8,0.05
11.0,rosetta,1.21,0.09
12.0,alpha,1.05,0.2
12.0,rosetta,1.3,0.15
13.0,alpha,1.02,0.14
13.0,rosetta,1.43,0.15
14.0,alpha,0.68,0.09
14.0,rosetta,1.2,0.14
15.0,alpha,0.8,
15.0,rosetta,1.26,
16.0,alpha,1.36,0.42
16.0,rosetta,1.53,0.32
17.0,alpha,1.15,0.43
17.0,rosetta,2.71,0.38
20.0,alpha,1.22,
20.0,rosetta,1.58,
24.0,alpha,1.1,
24.0,rosetta,1.13,
