loop_len,Model,mean_rmsd,sem_rmsd
1.0,AlphaFold,1.05,0.08
1.0,RoseTTAFold,2.16,0.18
2.0,AlphaFold,1.08,0.09
2.0,RoseTTAFold,2.34,0.17
3.0,AlphaFold,0.89,0.06
3.0,RoseTTAFold,2.11,0.17
4.0,AlphaFold,1.15,0.11
4.0,RoseTTAFold,2.31,0.22
5.0,AlphaFold,1.1,0.13
5.0,RoseTTAFold,2.14,0.14
6.0,AlphaFold,1.7,0.27
6.0,RoseTTAFold,2.54,0.21
7.0,AlphaFold,1.5,0.22
7.0,RoseTTAFold,2.62,0.27
8.0,AlphaFold,1.75,0.69
8.0,RoseTTAFold,3.58,0.94
9.0,AlphaFold,1.04,0.19
9.0,RoseTTAFold,2.96,0.57
10.0,AlphaFold,2.15,0.45
10.0,RoseTTAFold,3.33,0.58
11.0,AlphaFold,0.77,0.07
11.0,RoseTTAFold,1.73,0.18
12.0,AlphaFold,1.92,0.69
12.0,RoseTTAFold,2.35,0.48
13.0,AlphaFold,1.48,0.55
13.0,RoseTTAFold,2.56,0.67
14.0,AlphaFold,0.59,0.14
14.0,RoseTTAFold,1.86,0.44
15.0,AlphaFold,0.69,
15.0,RoseTTAFold,1.67,
16.0,AlphaFold,2.63,1.28
16.0,RoseTTAFold,3.01,1.02
17.0,AlphaFold,2.55,1.9
17.0,RoseTTAFold,8.15,2.02
18.0,AlphaFold,0.86,
18.0,RoseTTAFold,1.63,
20.0,AlphaFold,1.66,
20.0,RoseTTAFold,2.58,
24.0,AlphaFold,1.57,
24.0,RoseTTAFold,1.64,
