,structure_id,model,loop_len,rmsd
0,9EM5,alpha,1.0,0.733
1,9EM5,rosetta,1.0,0.964
2,9EM5,alpha,2.0,0.42
3,9EM5,rosetta,2.0,0.811
4,9EM5,alpha,2.0,0.485
5,9EM5,rosetta,2.0,0.707
6,9EM5,alpha,3.0,0.33
7,9EM5,rosetta,3.0,1.015
8,9EM5,alpha,8.0,0.39
9,9EM5,rosetta,8.0,0.985
10,9EM5,alpha,3.0,0.34
11,9EM5,rosetta,3.0,0.758
12,9EM5,alpha,5.0,0.262
13,9EM5,rosetta,5.0,0.685
14,9EM5,alpha,3.0,0.345
15,9EM5,rosetta,3.0,0.75
16,9EM5,alpha,12.0,0.313
17,9EM5,rosetta,12.0,0.719
18,9EM5,alpha,3.0,0.468
19,9EM5,rosetta,3.0,0.511
20,9EM5,alpha,3.0,0.31
21,9EM5,rosetta,3.0,0.468
22,9EM5,alpha,7.0,0.397
23,9EM5,rosetta,7.0,0.841
24,9EM5,alpha,1.0,0.206
25,9EM5,rosetta,1.0,0.71
26,9EM5,alpha,3.0,0.458
27,9EM5,rosetta,3.0,0.727
28,9EM5,alpha,3.0,0.528
29,9EM5,rosetta,3.0,1.13
30,9EM5,alpha,4.0,0.368
31,9EM5,rosetta,4.0,1.249
32,9EM5,alpha,1.0,0.548
33,9EM5,rosetta,1.0,0.943
34,9EM5,alpha,4.0,0.329
35,9EM5,rosetta,4.0,0.572
36,9EM5,alpha,4.0,0.249
37,9EM5,rosetta,4.0,1.086
38,9EM5,alpha,14.0,0.327
39,9EM5,rosetta,14.0,0.738
40,9EM5,alpha,1.0,0.369
41,9EM5,rosetta,1.0,0.657
42,9EM5,alpha,1.0,0.348
43,9EM5,rosetta,1.0,0.341
44,9EM5,alpha,13.0,0.364
45,9EM5,rosetta,13.0,0.704
46,9EM5,alpha,5.0,0.377
47,9EM5,rosetta,5.0,0.586
48,9EM5,alpha,4.0,1.182
49,9EM5,rosetta,4.0,1.252
50,9EM5,alpha,4.0,0.4
51,9EM5,rosetta,4.0,0.61
52,9EM5,alpha,4.0,0.413
53,9EM5,rosetta,4.0,0.757
54,9EM5,alpha,5.0,0.411
55,9EM5,rosetta,5.0,0.499
56,9EM5,alpha,1.0,0.395
57,9EM5,rosetta,1.0,0.886
58,9EM5,alpha,3.0,0.318
59,9EM5,rosetta,3.0,0.761
60,9EM5,alpha,4.0,0.478
61,9EM5,rosetta,4.0,0.689
62,9EM5,alpha,1.0,0.445
63,9EM5,rosetta,1.0,0.594
64,9EM5,alpha,13.0,0.365
65,9EM5,rosetta,13.0,1.003
66,9EM5,alpha,1.0,0.756
67,9EM5,rosetta,1.0,1.476
68,8TLF,alpha,2.0,1.583
69,8TLF,rosetta,2.0,5.107
70,8TLF,alpha,1.0,0.719
71,8TLF,rosetta,1.0,4.57
72,8TLF,alpha,2.0,0.439
73,8TLF,rosetta,2.0,3.85
