,structure_id,Model,GDT_TS
0,9EM5,AlphaFold,99.793
1,9EM5,RoseTTAFold,93.439
2,8TLF,AlphaFold,95.192
3,8TLF,RoseTTAFold,14.183
4,8V5E,AlphaFold,80.0
5,8V5E,RoseTTAFold,82.051
6,9FCE,AlphaFold,96.77
7,9FCE,RoseTTAFold,91.029
8,8TK5,AlphaFold,96.961
9,8TK5,RoseTTAFold,95.442
10,8WQ5,AlphaFold,84.091
11,8WQ5,RoseTTAFold,77.778
12,8QXY,AlphaFold,98.649
13,8QXY,RoseTTAFold,92.568
14,9FTW,AlphaFold,97.939
15,9FTW,RoseTTAFold,83.333
16,9FSB,AlphaFold,94.028
17,9FSB,RoseTTAFold,91.806
18,9C9R,AlphaFold,86.178
19,9C9R,RoseTTAFold,40.639
20,8KGB,AlphaFold,45.204
21,8KGB,RoseTTAFold,46.837
22,8TQJ,AlphaFold,99.265
23,8TQJ,RoseTTAFold,83.333
24,8QY1,AlphaFold,99.321
25,8QY1,RoseTTAFold,95.788
26,8Y2U,AlphaFold,97.404
27,8Y2U,RoseTTAFold,94.399
28,8TON,AlphaFold,23.884
29,8TON,RoseTTAFold,21.763
30,8Q6E,AlphaFold,76.941
31,8Q6E,RoseTTAFold,82.763
32,8TLH,AlphaFold,94.712
33,8TLH,RoseTTAFold,11.779
34,8QN9,AlphaFold,99.167
35,8QN9,RoseTTAFold,94.375
36,8KFH,AlphaFold,75.781
37,8KFH,RoseTTAFold,68.438
38,8VHH,AlphaFold,96.08
39,8VHH,RoseTTAFold,92.416
40,9CYS,AlphaFold,61.101
41,9CYS,RoseTTAFold,61.372
42,8OXS,AlphaFold,74.026
43,8OXS,RoseTTAFold,72.294
44,9ENK,AlphaFold,92.519
45,9ENK,RoseTTAFold,79.507
46,8QNO,AlphaFold,97.209
47,8QNO,RoseTTAFold,82.898
48,8X1W,AlphaFold,96.412
49,8X1W,RoseTTAFold,81.036
50,8V5C,AlphaFold,73.116
51,8V5C,RoseTTAFold,85.93
52,8YFN,AlphaFold,97.778
53,8YFN,RoseTTAFold,95.278
54,8IDW,AlphaFold,96.774
55,8IDW,RoseTTAFold,94.22
56,8Q3D,AlphaFold,99.364
57,8Q3D,RoseTTAFold,86.768
58,9EM3,AlphaFold,99.724
59,9EM3,RoseTTAFold,94.337
60,8QES,AlphaFold,99.302
61,8QES,RoseTTAFold,81.86
62,8VPU,AlphaFold,100.0
63,8VPU,RoseTTAFold,87.852
64,8Q4S,AlphaFold,84.407
65,8Q4S,RoseTTAFold,91.864
66,8YFL,AlphaFold,95.38
67,8YFL,RoseTTAFold,92.663
68,8S8Y,AlphaFold,93.2
69,8S8Y,RoseTTAFold,88.533
70,9B1V,AlphaFold,66.077
71,9B1V,RoseTTAFold,79.209
72,8GAC,AlphaFold,93.447
73,8GAC,RoseTTAFold,49.029
74,8RLJ,AlphaFold,97.992
75,8RLJ,RoseTTAFold,82.254
76,8VJV,AlphaFold,98.985
77,8VJV,RoseTTAFold,88.534
78,9CYQ,AlphaFold,97.359
79,9CYQ,RoseTTAFold,89.349
80,9ENI,AlphaFold,93.587
81,9ENI,RoseTTAFold,78.392
82,8TTT,AlphaFold,92.618
83,8TTT,RoseTTAFold,66.142
84,8UFY,AlphaFold,94.134
85,8UFY,RoseTTAFold,88.478
86,8Q23,AlphaFold,99.302
87,8Q23,RoseTTAFold,84.518
88,8KDK,AlphaFold,90.572
89,8KDK,RoseTTAFold,57.056
90,9FEK,AlphaFold,95.623
91,9FEK,RoseTTAFold,70.159
92,8KCJ,AlphaFold,84.637
93,8KCJ,RoseTTAFold,36.034
94,8QXZ,AlphaFold,98.919
95,8QXZ,RoseTTAFold,92.703
96,8TLG,AlphaFold,94.417
97,8TLG,RoseTTAFold,11.408
98,9BTS,AlphaFold,99.188
99,9BTS,RoseTTAFold,96.591
100,9EM4,AlphaFold,93.883
101,9EM4,RoseTTAFold,87.234
102,8TLE,AlphaFold,94.903
103,8TLE,RoseTTAFold,10.68
104,8QY0,AlphaFold,99.054
105,8QY0,RoseTTAFold,93.919
106,8GAD,AlphaFold,94.286
107,8GAD,RoseTTAFold,43.81
108,8TTV,AlphaFold,92.028
109,8TTV,RoseTTAFold,68.898
110,8TK6,AlphaFold,94.061
111,8TK6,RoseTTAFold,92.68
112,8S1J,AlphaFold,96.689
113,8S1J,RoseTTAFold,77.152
114,9IYF,AlphaFold,64.162
115,9IYF,RoseTTAFold,61.705
116,8U77,AlphaFold,88.028
117,8U77,RoseTTAFold,78.873
118,9ENJ,AlphaFold,93.505
119,9ENJ,RoseTTAFold,80.841
120,9GEA,AlphaFold,9.697
121,9GEA,RoseTTAFold,45.758
122,9CYR,AlphaFold,96.831
123,9CYR,RoseTTAFold,88.204
124,8VJU,AlphaFold,93.346
125,8VJU,RoseTTAFold,88.947
126,8VLL,AlphaFold,98.675
127,8VLL,RoseTTAFold,94.702
128,8TTD,AlphaFold,98.913
129,8TTD,RoseTTAFold,93.75
130,9CYP,AlphaFold,97.623
